"","age","income","gender","race","price","ydum"
"109","(60,90]","(1e+04,3e+04]","Female","Hispanic",15,0
"110","(50,60]","(1e+03,2e+03]","Female","Black",15,1
"111","(50,60]","(1e+04,3e+04]","Male","White",15,1
"112","(40,50]","(0,1e+03]","Female","White",15,1
"113","(40,50]","(2e+03,4e+03]","Female","White",15,1
"114","(50,60]","(0,1e+03]","Female","White",15,1
"115","(25,30]","(0,1e+03]","Female","Hispanic",15,1
"116","(25,30]","(6e+03,1e+04]","Female","White",15,1
"117","(40,50]","(0,1e+03]","Female","Black",15,0
"118","(50,60]","(2e+03,4e+03]","Female","Black",15,1
"119","(50,60]","(1e+03,2e+03]","Female","White",15,1
"120","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"121","(0,25]","(1e+03,2e+03]","Female","Black",15,0
"122","(0,25]","(6e+03,1e+04]","Female","Hispanic",15,0
"123","(0,25]","(1e+04,3e+04]","Female","Black",15,0
"124","(60,90]","(0,1e+03]","Female","White",15,1
"125","(60,90]","(0,1e+03]","Male","White",15,1
"126","(30,40]","(2e+03,4e+03]","Male","Black",15,0
"127","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"128","(60,90]","(0,1e+03]","Male","Black",15,0
"129","(30,40]","(0,1e+03]","Female","White",15,1
"130","(30,40]","(0,1e+03]","Male","White",15,0
"131","(40,50]","(4e+03,6e+03]","Female","Hispanic",15,0
"132","(60,90]","(4e+03,6e+03]","Female","Hispanic",15,0
"133","(40,50]","(6e+03,1e+04]","Female","Black",15,0
"134","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"135","(60,90]","(0,1e+03]","Male","Hispanic",15,0
"136","(60,90]","(1e+03,2e+03]","Female","Black",15,1
"137","(0,25]","(2e+03,4e+03]","Male","Black",15,0
"138","(30,40]","(2e+03,4e+03]","Female","White",15,1
"139","(60,90]","(1e+03,2e+03]","Female","White",15,1
"140","(30,40]","(0,1e+03]","Male","White",15,0
"141","(0,25]","(1e+04,3e+04]","Female","Black",15,0
"142","(30,40]","(1e+04,3e+04]","Female","White",15,1
"143","(40,50]","(1e+04,3e+04]","Male","Black",15,0
"144","(30,40]","(1e+04,3e+04]","Female","White",15,1
"145","(60,90]","(0,1e+03]","Female","Black",15,0
"146","(30,40]","(2e+03,4e+03]","Female","Black",15,0
"147","(25,30]","(1e+03,2e+03]","Female","Hispanic",15,1
"148","(0,25]","(0,1e+03]","Male","Black",15,0
"149","(0,25]","(6e+03,1e+04]","Male","Black",15,0
"150","(60,90]","(1e+04,3e+04]","Male","Black",15,0
"151","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"152","(30,40]","(1e+04,3e+04]","Female","Hispanic",15,0
"153","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"154","(0,25]","(4e+03,6e+03]","Female","White",15,0
"155","(60,90]","(4e+03,6e+03]","Male","White",15,1
"156","(30,40]","(4e+03,6e+03]","Female","White",15,0
"157","(50,60]","(0,1e+03]","Female","White",15,1
"158","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"159","(40,50]","(1e+03,2e+03]","Female","Hispanic",15,1
"160","(30,40]","(0,1e+03]","Female","Hispanic",15,0
"161","(60,90]","(1e+03,2e+03]","Male","Black",15,1
"162","(50,60]","(2e+03,4e+03]","Female","White",15,1
"163","(60,90]","(0,1e+03]","Female","White",15,1
"164","(30,40]","(1e+04,3e+04]","Female","Hispanic",15,0
"165","(40,50]","(0,1e+03]","Female","Black",15,0
"166","(40,50]","(2e+03,4e+03]","Female","Hispanic",15,0
"167","(60,90]","(1e+03,2e+03]","Female","White",15,1
"168","(0,25]","(0,1e+03]","Female","White",15,0
"169","(0,25]","(0,1e+03]","Male","White",15,0
"170","(30,40]","(1e+04,3e+04]","Female","White",15,1
"171","(0,25]","(6e+03,1e+04]","Female","White",15,1
"172","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"173","(50,60]","(1e+04,3e+04]","Female","Black",15,1
"174","(30,40]","(4e+03,6e+03]","Male","Hispanic",15,0
"175","(50,60]","(1e+03,2e+03]","Female","White",15,1
"176","(40,50]","(6e+03,1e+04]","Male","White",15,1
"177","(0,25]","(2e+03,4e+03]","Female","White",15,1
"178","(60,90]","(0,1e+03]","Male","White",15,1
"179","(60,90]","(1e+03,2e+03]","Male","White",15,1
"180","(30,40]","(2e+03,4e+03]","Male","White",15,1
"181","(50,60]","(4e+03,6e+03]","Male","White",15,1
"182","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"183","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"184","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"185","(60,90]","(2e+03,4e+03]","Female","Black",15,0
"186","(30,40]","(1e+04,3e+04]","Female","Hispanic",15,0
"187","(0,25]","(1e+04,3e+04]","Female","Black",15,0
"188","(60,90]","(6e+03,1e+04]","Male","White",15,1
"189","(0,25]","(0,1e+03]","Female","White",15,0
"190","(25,30]","(0,1e+03]","Female","White",15,1
"191","(30,40]","(1e+04,3e+04]","Female","Hispanic",15,0
"192","(60,90]","(1e+04,3e+04]","Male","Hispanic",15,0
"193","(0,25]","(2e+03,4e+03]","Female","White",15,1
"194","(50,60]","(6e+03,1e+04]","Female","White",15,1
"195","(60,90]","(2e+03,4e+03]","Male","White",15,1
"196","(25,30]","(0,1e+03]","Female","White",15,1
"197","(50,60]","(0,1e+03]","Female","Hispanic",15,0
"198","(60,90]","(1e+03,2e+03]","Female","White",15,1
"199","(50,60]","(1e+03,2e+03]","Male","Black",15,1
"200","(60,90]","(1e+04,3e+04]","Female","Hispanic",15,0
"201","(40,50]","(2e+03,4e+03]","Male","White",15,1
"202","(40,50]","(0,1e+03]","Male","Black",15,0
"203","(60,90]","(0,1e+03]","Male","Hispanic",15,0
"204","(60,90]","(0,1e+03]","Male","Hispanic",15,0
"205","(30,40]","(0,1e+03]","Female","Black",15,0
"206","(0,25]","(6e+03,1e+04]","Female","Black",15,0
"207","(60,90]","(4e+03,6e+03]","Female","White",15,1
"208","(50,60]","(4e+03,6e+03]","Male","Black",15,0
"209","(40,50]","(1e+03,2e+03]","Male","Hispanic",15,1
"210","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"211","(30,40]","(0,1e+03]","Female","Black",15,0
"212","(50,60]","(4e+03,6e+03]","Female","White",15,1
"213","(50,60]","(0,1e+03]","Male","White",15,1
"214","(50,60]","(0,1e+03]","Female","White",15,1
"215","(50,60]","(2e+03,4e+03]","Male","White",15,1
"216","(50,60]","(0,1e+03]","Male","White",15,1
"217","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"218","(25,30]","(0,1e+03]","Female","Black",15,1
"219","(30,40]","(6e+03,1e+04]","Female","Black",15,0
"220","(40,50]","(6e+03,1e+04]","Male","Hispanic",15,0
"221","(40,50]","(0,1e+03]","Female","White",15,1
"222","(60,90]","(2e+03,4e+03]","Male","Black",15,0
"223","(60,90]","(0,1e+03]","Male","Hispanic",15,0
"224","(50,60]","(2e+03,4e+03]","Female","White",15,1
"225","(50,60]","(0,1e+03]","Male","Hispanic",15,0
"226","(50,60]","(1e+04,3e+04]","Female","Hispanic",15,1
"227","(30,40]","(0,1e+03]","Male","Black",15,0
"228","(25,30]","(0,1e+03]","Male","Black",15,1
"229","(30,40]","(0,1e+03]","Male","Black",15,0
"230","(30,40]","(0,1e+03]","Male","White",15,0
"231","(50,60]","(2e+03,4e+03]","Female","White",15,1
"232","(0,25]","(0,1e+03]","Male","Black",15,0
"233","(50,60]","(1e+03,2e+03]","Male","Black",15,1
"234","(60,90]","(1e+03,2e+03]","Female","Black",15,1
"235","(0,25]","(1e+03,2e+03]","Female","Black",15,0
"236","(0,25]","(1e+04,3e+04]","Female","Hispanic",15,0
"237","(30,40]","(0,1e+03]","Male","Black",15,0
"238","(25,30]","(1e+04,3e+04]","Male","Hispanic",15,1
"239","(40,50]","(0,1e+03]","Female","Black",15,0
"240","(40,50]","(0,1e+03]","Male","Black",15,0
"241","(30,40]","(1e+03,2e+03]","Male","Black",15,0
"242","(25,30]","(4e+03,6e+03]","Female","Hispanic",15,0
"243","(40,50]","(0,1e+03]","Female","White",15,1
"244","(60,90]","(0,1e+03]","Female","White",15,1
"245","(40,50]","(0,1e+03]","Female","Hispanic",15,0
"246","(40,50]","(0,1e+03]","Male","White",15,1
"247","(60,90]","(1e+04,3e+04]","Female","White",15,1
"248","(25,30]","(6e+03,1e+04]","Female","White",15,1
"249","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"250","(40,50]","(1e+04,3e+04]","Female","Hispanic",15,0
"251","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"252","(60,90]","(0,1e+03]","Male","Black",15,0
"253","(60,90]","(0,1e+03]","Female","White",15,1
"254","(60,90]","(0,1e+03]","Female","White",15,1
"255","(0,25]","(1e+03,2e+03]","Female","Hispanic",15,0
"256","(25,30]","(4e+03,6e+03]","Male","White",15,1
"257","(30,40]","(0,1e+03]","Male","Hispanic",15,0
"258","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"259","(0,25]","(0,1e+03]","Female","White",15,0
"260","(40,50]","(6e+03,1e+04]","Male","Black",15,0
"261","(60,90]","(1e+03,2e+03]","Female","White",15,1
"262","(50,60]","(0,1e+03]","Female","White",15,1
"263","(0,25]","(6e+03,1e+04]","Male","Black",15,0
"264","(50,60]","(1e+04,3e+04]","Female","White",15,1
"265","(30,40]","(2e+03,4e+03]","Male","White",15,1
"266","(30,40]","(2e+03,4e+03]","Male","White",15,1
"267","(60,90]","(1e+03,2e+03]","Male","Hispanic",15,1
"268","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"269","(60,90]","(2e+03,4e+03]","Female","White",15,1
"270","(0,25]","(1e+03,2e+03]","Female","Hispanic",15,0
"271","(0,25]","(6e+03,1e+04]","Male","Hispanic",15,0
"272","(0,25]","(2e+03,4e+03]","Female","Hispanic",15,0
"273","(40,50]","(1e+03,2e+03]","Female","Hispanic",15,1
"274","(60,90]","(6e+03,1e+04]","Male","Hispanic",15,0
"275","(30,40]","(4e+03,6e+03]","Female","Hispanic",15,0
"276","(0,25]","(0,1e+03]","Male","Hispanic",15,0
"277","(0,25]","(0,1e+03]","Male","Black",15,0
"278","(60,90]","(6e+03,1e+04]","Male","White",15,1
"279","(40,50]","(1e+03,2e+03]","Female","Black",15,1
"280","(40,50]","(1e+03,2e+03]","Male","Black",15,1
"281","(50,60]","(0,1e+03]","Female","Black",15,0
"282","(0,25]","(2e+03,4e+03]","Male","Hispanic",15,0
"283","(40,50]","(2e+03,4e+03]","Female","Hispanic",15,0
"284","(60,90]","(0,1e+03]","Male","White",15,1
"285","(60,90]","(2e+03,4e+03]","Male","Black",15,0
"286","(0,25]","(0,1e+03]","Male","White",15,0
"287","(30,40]","(1e+03,2e+03]","Male","Hispanic",15,0
"288","(50,60]","(1e+03,2e+03]","Female","Black",15,1
"289","(30,40]","(0,1e+03]","Female","Black",15,0
"290","(0,25]","(0,1e+03]","Male","White",15,0
"291","(60,90]","(0,1e+03]","Female","White",15,1
"292","(30,40]","(1e+03,2e+03]","Male","White",15,1
"293","(30,40]","(2e+03,4e+03]","Male","White",15,1
"294","(50,60]","(1e+03,2e+03]","Male","White",15,1
"295","(60,90]","(1e+04,3e+04]","Male","Hispanic",15,0
"296","(60,90]","(0,1e+03]","Female","White",15,1
"297","(60,90]","(0,1e+03]","Female","White",15,1
"298","(50,60]","(2e+03,4e+03]","Male","White",15,1
"299","(50,60]","(0,1e+03]","Female","Black",15,0
"300","(60,90]","(1e+04,3e+04]","Female","Black",15,0
"301","(60,90]","(2e+03,4e+03]","Female","White",15,1
"302","(25,30]","(1e+03,2e+03]","Male","Black",15,1
"303","(30,40]","(0,1e+03]","Female","White",15,1
"304","(40,50]","(0,1e+03]","Female","White",15,1
"305","(50,60]","(2e+03,4e+03]","Female","White",15,1
"306","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"307","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"308","(60,90]","(6e+03,1e+04]","Female","Hispanic",15,0
"309","(0,25]","(0,1e+03]","Male","Black",15,0
"310","(0,25]","(0,1e+03]","Female","Black",15,0
"311","(50,60]","(6e+03,1e+04]","Male","Black",15,1
"312","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"313","(60,90]","(6e+03,1e+04]","Female","White",15,1
"314","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"315","(60,90]","(1e+04,3e+04]","Male","White",15,1
"316","(40,50]","(6e+03,1e+04]","Female","White",15,1
"317","(60,90]","(1e+04,3e+04]","Male","White",15,1
"318","(50,60]","(0,1e+03]","Male","White",15,1
"319","(60,90]","(0,1e+03]","Female","White",15,1
"320","(50,60]","(1e+04,3e+04]","Female","White",15,1
"321","(30,40]","(0,1e+03]","Female","Hispanic",15,0
"322","(0,25]","(1e+04,3e+04]","Female","Black",15,0
"323","(30,40]","(2e+03,4e+03]","Female","Black",15,0
"324","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"325","(60,90]","(4e+03,6e+03]","Female","Black",15,0
"326","(50,60]","(1e+03,2e+03]","Female","Black",15,1
"327","(60,90]","(0,1e+03]","Female","White",15,1
"328","(0,25]","(1e+03,2e+03]","Female","Hispanic",15,0
"329","(50,60]","(0,1e+03]","Male","Black",15,0
"330","(0,25]","(4e+03,6e+03]","Female","Hispanic",15,0
"331","(40,50]","(0,1e+03]","Female","White",15,1
"332","(40,50]","(1e+04,3e+04]","Female","Black",15,0
"333","(60,90]","(1e+04,3e+04]","Female","Black",15,0
"334","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"335","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"336","(30,40]","(1e+04,3e+04]","Female","Black",15,0
"337","(0,25]","(1e+03,2e+03]","Female","Hispanic",15,0
"338","(60,90]","(6e+03,1e+04]","Female","White",15,1
"339","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"340","(60,90]","(1e+03,2e+03]","Male","Black",15,1
"341","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"342","(60,90]","(0,1e+03]","Female","White",15,1
"343","(60,90]","(2e+03,4e+03]","Female","White",15,1
"344","(0,25]","(0,1e+03]","Female","White",15,0
"345","(60,90]","(0,1e+03]","Female","White",15,1
"346","(50,60]","(0,1e+03]","Male","Black",15,0
"347","(40,50]","(6e+03,1e+04]","Female","Black",15,0
"348","(30,40]","(4e+03,6e+03]","Male","Black",15,0
"349","(40,50]","(0,1e+03]","Female","Black",15,0
"350","(0,25]","(4e+03,6e+03]","Female","Black",15,0
"351","(60,90]","(0,1e+03]","Male","Black",15,0
"352","(40,50]","(2e+03,4e+03]","Female","Black",15,0
"353","(60,90]","(0,1e+03]","Female","White",15,1
"354","(60,90]","(2e+03,4e+03]","Female","White",15,1
"355","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"356","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"357","(60,90]","(0,1e+03]","Male","Hispanic",15,0
"358","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"359","(40,50]","(0,1e+03]","Female","Black",15,0
"360","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"361","(60,90]","(2e+03,4e+03]","Female","Black",15,0
"362","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"363","(50,60]","(0,1e+03]","Female","Black",15,0
"364","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"365","(30,40]","(1e+03,2e+03]","Male","White",15,1
"366","(30,40]","(2e+03,4e+03]","Male","White",15,1
"367","(50,60]","(4e+03,6e+03]","Female","White",15,1
"368","(60,90]","(1e+04,3e+04]","Female","White",15,1
"369","(30,40]","(1e+04,3e+04]","Female","Black",15,0
"370","(60,90]","(1e+04,3e+04]","Female","White",15,1
"371","(40,50]","(4e+03,6e+03]","Female","Hispanic",15,0
"372","(60,90]","(4e+03,6e+03]","Female","Hispanic",15,0
"373","(60,90]","(1e+04,3e+04]","Female","White",15,1
"374","(40,50]","(0,1e+03]","Female","Black",15,0
"375","(50,60]","(4e+03,6e+03]","Female","Black",15,0
"376","(30,40]","(0,1e+03]","Female","Hispanic",15,0
"377","(60,90]","(1e+03,2e+03]","Female","Hispanic",15,1
"378","(40,50]","(6e+03,1e+04]","Female","White",15,1
"379","(30,40]","(0,1e+03]","Male","Hispanic",15,0
"380","(30,40]","(0,1e+03]","Female","Black",15,0
"381","(60,90]","(0,1e+03]","Female","White",15,1
"382","(60,90]","(6e+03,1e+04]","Male","Hispanic",15,0
"383","(50,60]","(0,1e+03]","Female","White",15,1
"384","(30,40]","(2e+03,4e+03]","Female","Hispanic",15,0
"385","(50,60]","(6e+03,1e+04]","Male","Black",15,1
"386","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"387","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"388","(50,60]","(0,1e+03]","Male","Black",15,0
"389","(40,50]","(4e+03,6e+03]","Female","Black",15,0
"390","(50,60]","(2e+03,4e+03]","Male","Hispanic",15,1
"391","(40,50]","(0,1e+03]","Male","Black",15,0
"392","(60,90]","(0,1e+03]","Male","Black",15,0
"393","(0,25]","(1e+03,2e+03]","Female","White",15,1
"394","(50,60]","(2e+03,4e+03]","Male","White",15,1
"395","(0,25]","(2e+03,4e+03]","Female","White",15,1
"396","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"397","(60,90]","(0,1e+03]","Female","Black",15,0
"398","(25,30]","(1e+04,3e+04]","Male","Black",15,1
"399","(50,60]","(2e+03,4e+03]","Female","Black",15,1
"400","(0,25]","(2e+03,4e+03]","Female","Black",15,0
"401","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"402","(60,90]","(1e+03,2e+03]","Female","Black",15,1
"403","(50,60]","(2e+03,4e+03]","Female","Hispanic",15,1
"404","(0,25]","(0,1e+03]","Male","Black",15,0
"405","(60,90]","(1e+03,2e+03]","Female","Black",15,1
"406","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"407","(40,50]","(1e+03,2e+03]","Female","White",15,1
"408","(30,40]","(1e+04,3e+04]","Male","Hispanic",15,0
"409","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"410","(50,60]","(1e+03,2e+03]","Female","Black",15,1
"411","(30,40]","(0,1e+03]","Female","Black",15,0
"412","(25,30]","(2e+03,4e+03]","Female","Black",15,1
"413","(0,25]","(0,1e+03]","Male","White",15,0
"414","(50,60]","(2e+03,4e+03]","Female","Black",15,1
"415","(25,30]","(0,1e+03]","Female","Black",15,1
"416","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"417","(25,30]","(0,1e+03]","Female","Black",15,1
"418","(60,90]","(1e+03,2e+03]","Male","Black",15,1
"419","(50,60]","(1e+03,2e+03]","Female","Hispanic",15,1
"420","(40,50]","(1e+04,3e+04]","Male","Black",15,0
"421","(0,25]","(2e+03,4e+03]","Male","White",15,1
"422","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"423","(60,90]","(1e+04,3e+04]","Male","White",15,1
"424","(0,25]","(0,1e+03]","Male","Black",15,0
"425","(60,90]","(4e+03,6e+03]","Male","Hispanic",15,0
"426","(60,90]","(1e+04,3e+04]","Female","White",15,1
"427","(25,30]","(1e+04,3e+04]","Male","White",15,1
"428","(40,50]","(0,1e+03]","Male","Black",15,0
"429","(0,25]","(0,1e+03]","Male","Black",15,0
"430","(0,25]","(2e+03,4e+03]","Male","White",15,1
"431","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"432","(50,60]","(1e+04,3e+04]","Female","Hispanic",15,1
"433","(60,90]","(1e+04,3e+04]","Female","Black",15,0
"434","(30,40]","(4e+03,6e+03]","Female","Hispanic",15,0
"435","(0,25]","(1e+03,2e+03]","Female","Black",15,0
"436","(60,90]","(6e+03,1e+04]","Female","White",15,1
"437","(0,25]","(0,1e+03]","Female","White",15,0
"438","(30,40]","(0,1e+03]","Female","White",15,1
"439","(40,50]","(0,1e+03]","Female","Black",15,0
"440","(40,50]","(6e+03,1e+04]","Male","Hispanic",15,0
"441","(60,90]","(1e+04,3e+04]","Female","Black",15,0
"442","(30,40]","(6e+03,1e+04]","Female","Black",15,0
"443","(50,60]","(0,1e+03]","Male","Hispanic",15,0
"444","(60,90]","(0,1e+03]","Female","White",15,1
"445","(60,90]","(2e+03,4e+03]","Female","Black",15,0
"446","(60,90]","(6e+03,1e+04]","Female","White",15,1
"447","(0,25]","(1e+03,2e+03]","Female","Hispanic",15,0
"448","(30,40]","(0,1e+03]","Male","White",15,0
"449","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"450","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"451","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"452","(60,90]","(2e+03,4e+03]","Female","White",15,1
"453","(60,90]","(2e+03,4e+03]","Male","Black",15,0
"454","(25,30]","(1e+03,2e+03]","Male","White",15,1
"455","(60,90]","(2e+03,4e+03]","Female","White",15,1
"456","(60,90]","(4e+03,6e+03]","Female","Black",15,0
"457","(40,50]","(1e+04,3e+04]","Female","White",15,1
"458","(0,25]","(1e+04,3e+04]","Female","Black",15,0
