"","hhid","choice","PPk_Stk","PBB_Stk","PFl_Stk","PHse_Stk","PGen_Stk","PImp_Stk","PSS_Tub","PPk_Tub","PFl_Tub","PHse_Tub"
"43",2100693,9,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
"44",2100693,4,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
"45",2100693,9,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
"46",2100693,9,0.62,0.61,0.99,0.49,0.33,0.75,0.65,1.09,1.19,0.59
"47",2100693,4,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
"48",2100693,9,0.58,0.6,0.99,0.45,0.33,0.75,0.65,1.07,1.19,0.59
"49",2100693,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"50",2100693,3,0.58,0.58,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
"51",2100693,9,0.58,0.25,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
"52",2100693,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"53",2100693,9,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"54",2100693,9,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.08,1.19,0.56
"55",2100693,3,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.08,1.19,0.56
"56",2100693,9,0.29,0.5,0.99,0.29,0.33,0.69,0.56,1.09,1.19,0.56
"57",2100693,1,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"58",2100750,1,0.29,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.33
"59",2100750,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"60",2100750,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"61",2100750,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
"62",2100750,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"63",2100750,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"64",2100750,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
"65",2100750,1,0.29,0.55,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"66",2100750,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
"67",2100834,7,0.62,0.5,1.09,0.57,0.36,0.93,0.75,1.09,1.19,0.59
"68",2100834,7,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"69",2100834,10,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"70",2100834,2,0.58,0.44,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"71",2100834,7,0.39,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"72",2100875,7,0.63,0.67,0.99,0.57,0.49,0.93,0.71,0.98,1.17,0.59
"73",2100875,10,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"74",2100875,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"75",2100933,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"76",2100933,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"77",2101188,3,0.67,0.67,1.08,0.57,0.39,0.83,0.85,0.98,1.17,0.59
"78",2101188,3,0.66,0.59,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"79",2101188,3,0.29,0.32,0.99,0.64,0.34,0.58,0.79,1.09,1.19,0.64
"80",2101188,3,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
"81",2101188,3,0.62,0.61,0.99,0.57,0.36,0.73,0.85,1.09,1.19,0.58
"82",2101188,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"83",2101188,3,0.29,0.5,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
"84",2101188,3,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.57
"85",2101188,3,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"86",2101295,1,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
"87",2101295,1,0.66,0.59,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"88",2101295,1,0.62,0.5,1.09,0.57,0.36,1.23,0.85,1.24,1.34,0.71
"89",2101295,1,0.62,0.5,1.09,0.58,0.34,1.07,0.85,1.1,1.19,0.63
"90",2101295,4,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
"91",2101295,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"92",2101295,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"93",2101295,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
"94",2101295,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"95",2101295,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"96",2101303,2,0.63,0.59,1.09,0.57,0.33,0.75,0.85,0.98,0.69,0.59
"97",2101303,1,0.63,0.72,0.99,0.57,0.36,0.42,0.85,1.09,1.19,0.52
"98",2101303,1,0.62,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
"99",2101303,1,0.62,0.29,1.1,0.58,0.33,0.95,0.85,1.09,1.19,0.6
"100",2101303,1,0.62,0.5,1.09,0.57,0.33,0.78,0.85,1.09,1.19,0.59
"101",2101303,1,0.5,0.6,0.99,0.45,0.33,0.75,0.85,1.08,1.19,0.59
"102",2101303,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"103",2101303,1,0.58,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
"104",2101378,2,0.62,0.5,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
"105",2101378,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"106",2101378,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"107",2101378,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"108",2101378,4,0.25,0.61,0.99,0.45,0.33,0.74,0.85,1.09,1.19,0.59
"109",2101378,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"110",2101378,6,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
"111",2101378,1,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
"112",2101378,6,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"113",2101378,2,0.58,0.45,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
"114",2101378,4,0.58,0.58,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
"115",2101378,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
"116",2101378,6,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
"117",2101378,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
"118",2101378,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.1,1.19,0.56
"119",2101451,8,0.46,0.67,1.09,0.57,0.35,0.93,0.85,1.09,1.19,0.33
"120",2101451,8,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.2,0.33
"121",2101451,8,0.63,0.65,1.09,0.56,0.36,0.93,0.85,1.09,1.19,0.6
"122",2101451,8,0.63,0.67,0.99,0.57,0.36,0.87,0.64,1.09,1.15,0.59
"123",2101451,8,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"124",2101451,8,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"125",2101451,8,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
"126",2101451,8,0.62,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
"127",2101451,8,0.62,0.5,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
"128",2101451,8,0.62,0.61,0.99,0.33,0.36,0.75,0.65,1.09,1.2,0.58
"129",2101451,8,0.62,0.5,0.99,0.57,0.33,0.75,0.85,1.09,1.19,0.59
"130",2101451,8,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
"131",2101451,8,0.62,0.61,0.99,0.45,0.33,0.75,0.65,1.09,1.19,0.59
"132",2101451,8,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"133",2101451,8,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"134",2101451,8,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"135",2101451,8,0.5,0.6,0.99,0.45,0.33,0.75,0.85,1.07,1.19,0.59
"136",2101451,8,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
"137",2101451,8,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"138",2101451,8,0.58,0.45,0.99,0.45,0.34,0.72,0.65,1.07,1.19,0.59
"139",2101451,8,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"140",2101451,8,0.58,0.55,0.99,0.37,0.34,0.72,0.65,1.07,1.19,0.59
"141",2101451,8,0.58,0.25,0.99,0.29,0.34,0.72,0.5,1.07,1.19,0.59
"142",2101451,8,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.07,1.19,0.56
"143",2101451,8,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"144",2101451,8,0.29,0.45,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"145",2101451,8,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
"146",2101451,8,0.58,0.58,0.99,0.29,0.34,0.69,0.63,1.07,1.19,0.56
"147",2101618,7,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.12,1.19,0.56
"148",2101618,8,0.47,0.54,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"149",2101675,4,0.58,0.53,0.99,0.33,0.33,0.72,0.85,1.07,1.18,0.59
"150",2101675,4,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"151",2101675,7,0.58,0.58,0.99,0.29,0.34,0.69,0.5,1.07,1.19,0.56
"152",2101675,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"153",2101741,7,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"154",2101741,7,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
"155",2101741,7,0.39,0.55,0.99,0.29,0.34,0.69,0.56,1.09,1.19,0.56
"156",2101758,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"157",2101758,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
"158",2101758,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"159",2101758,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"160",2101758,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"161",2101949,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"162",2101949,2,0.63,0.67,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.58
"163",2101949,1,0.62,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"164",2101949,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"165",2101949,8,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
"166",2101949,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"167",2101949,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"168",2101949,1,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"169",2101949,1,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"170",2101949,1,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
"171",2101949,8,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"172",2101949,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"173",2101956,9,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"174",2101956,1,0.62,0.5,0.99,0.57,0.36,0.6,0.85,1.09,1.24,0.47
"175",2101956,8,0.62,0.5,0.99,0.57,0.36,0.6,0.85,1.09,1.24,0.47
"176",2101956,9,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"177",2101956,2,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"178",2101956,9,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"179",2101956,2,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"180",2101956,2,0.58,0.45,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
"181",2101956,8,0.58,0.45,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
"182",2101956,2,0.58,0.45,1.02,0.25,0.34,0.92,0.85,1.07,1.19,0.59
"183",2102046,2,0.29,0.5,1.01,0.57,0.36,0.69,0.66,1.09,1.19,0.59
"184",2102046,1,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
"185",2102046,1,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
"186",2102046,1,0.62,0.6,0.99,0.33,0.36,0.79,0.85,1.09,1.19,0.57
"187",2102046,1,0.62,0.61,0.99,0.53,0.36,0.71,0.85,1.09,1.19,0.59
"188",2102046,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"189",2102046,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"190",2102046,1,0.5,0.58,0.99,0.19,0.33,0.69,0.85,1.07,1.19,0.59
"191",2102046,1,0.58,0.45,1.02,0.25,0.34,0.92,0.85,1.07,1.19,0.59
"192",2102046,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
"193",2102046,1,0.19,0.6,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"194",2102046,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"195",2102046,1,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"196",2102087,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"197",2102087,2,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
"198",2102152,1,0.63,0.67,0.99,0.57,0.49,0.93,0.85,0.98,1.17,0.59
"199",2102152,1,0.63,0.67,1.08,0.57,0.33,0.93,0.85,0.98,1.17,0.59
"200",2102152,1,0.63,0.67,1.08,0.57,0.33,0.93,0.85,0.98,1.17,0.59
"201",2102152,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"202",2102152,1,0.5,0.5,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"203",2102152,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.55
"204",2102186,2,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"205",2102186,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"206",2102186,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"207",2102186,1,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"208",2102186,1,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"209",2102186,4,0.62,0.61,1.09,0.29,0.36,0.75,0.85,1.09,1.19,0.59
"210",2102186,5,0.62,0.61,0.99,0.33,0.36,0.75,0.85,1.09,1.2,0.58
"211",2102186,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"212",2102186,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"213",2102186,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"214",2102186,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"215",2102186,8,0.62,0.61,0.99,0.48,0.33,0.75,0.85,1.09,1.19,0.59
"216",2102186,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"217",2102186,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"218",2102186,1,0.5,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"219",2102186,2,0.58,0.25,0.99,0.27,0.33,0.92,0.85,1.07,1.19,0.59
"220",2102186,1,0.58,0.45,0.99,0.29,0.33,0.78,0.85,1.07,1.19,0.58
"221",2102186,1,0.29,0.5,0.99,0.3,0.33,0.72,0.85,1.07,1.19,0.59
"222",2102186,2,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
"223",2102186,3,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
"224",2102186,1,0.19,0.51,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"225",2102186,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"226",2102228,9,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"227",2102228,9,0.29,0.5,0.99,0.57,0.35,0.69,0.79,1.09,1.19,0.67
"228",2102228,3,0.62,0.61,0.99,0.49,0.34,0.75,0.65,1.09,1.19,0.59
"229",2102228,3,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"230",2102228,3,0.29,0.5,0.99,0.29,0.34,0.69,0.56,1.09,1.19,0.56
"231",2102251,4,0.63,0.67,1.1,0.57,0.36,0.93,0.85,1.08,1.18,0.33
"232",2102251,6,0.63,0.63,1.11,0.58,0.36,0.33,0.85,1.08,1.19,0.47
"233",2102251,2,0.62,0.29,1.1,0.58,0.33,0.95,0.85,1.09,1.19,0.6
"234",2102251,4,0.62,0.51,0.99,0.57,0.36,0.71,0.85,1.12,1.11,0.63
"235",2102251,4,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"236",2102251,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"237",2102251,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"238",2102251,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"239",2102251,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"240",2102251,1,0.5,0.58,0.99,0.19,0.33,0.72,0.85,1.07,1.19,0.59
"241",2102251,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"242",2102251,4,0.58,0.65,0.99,0.25,0.34,0.72,0.85,1.07,1.19,0.59
"243",2102251,4,0.58,0.58,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
"244",2102251,4,0.58,0.53,0.99,0.33,0.33,0.72,0.85,1.07,1.18,0.59
"245",2102251,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"246",2102277,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"247",2102277,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
"248",2102285,3,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"249",2102426,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.18,1.19,0.59
"250",2102426,2,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"251",2102426,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"252",2103200,1,0.63,0.67,1.08,0.57,0.49,0.77,0.73,0.98,1.17,0.5
"253",2103200,1,0.67,0.67,1.08,0.57,0.49,0.83,0.85,0.98,1.17,0.5
"254",2103200,2,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"255",2103309,4,0.63,0.67,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
"256",2103309,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"257",2103309,4,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"258",2103309,4,0.63,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.58
"259",2103309,4,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"260",2103309,4,0.62,0.5,1.09,0.29,0.38,0.75,0.85,1.09,1.19,0.59
"261",2103309,4,0.62,0.61,0.99,0.49,0.34,0.75,0.85,1.09,1.19,0.59
"262",2103309,4,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"263",2103309,4,0.5,0.58,0.99,0.45,0.34,0.72,0.86,1.07,1.19,0.59
"264",2103309,4,0.58,0.58,0.99,0.45,0.33,0.79,0.89,1.09,1.19,0.68
"265",2103309,4,0.58,0.45,0.99,0.25,0.29,0.72,0.9,1.11,1.19,0.77
"266",2103309,1,0.29,0.51,0.99,0.33,0.33,0.72,0.85,1.07,1.21,0.59
"267",2103309,4,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
"268",2103309,4,0.58,0.5,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"269",2103416,1,0.63,0.67,1.09,0.57,0.39,0.93,0.85,0.98,1.17,0.59
"270",2103416,5,0.66,0.67,1.09,0.57,0.33,0.93,0.85,1.07,1.19,0.59
"271",2103416,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"272",2103416,7,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"273",2103416,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"274",2103416,7,0.62,0.6,0.99,0.33,0.36,0.79,0.85,1.09,1.19,0.57
"275",2103416,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"276",2103416,7,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"277",2103416,7,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"278",2103416,1,0.29,0.5,0.99,0.33,0.34,0.72,0.85,1.07,1.19,0.59
"279",2103416,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
"280",2103416,7,0.47,0.54,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"281",2103630,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"282",2103630,9,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
